circlename,regionname,divisionname,officename,pincode,officetype,delivery,district,statename,latitude,longitude
Tamilnadu Circle,Chennai City Region,Vellore Division,Mudinambattu B.O,632204,BO,Delivery,VELLORE,TAMIL NADU,12.9428,79.0147
Tamilnadu Circle,Chennai City Region,Vellore Division,Erayangadu B.O,632104,BO,Delivery,VELLORE,TAMIL NADU,12.9228,78.9993
Tamilnadu Circle,Chennai City Region,Vellore Division,Vallandramam B.O,632104,BO,Delivery,VELLORE,TAMIL NADU,12.9016,79.0111
Tamilnadu Circle,Western Region Coimbatore,Coimbatore Division,Panapatti BO,641201,BO,Delivery,COIMBATORE,TAMIL NADU,10.8772266,77.10007
Tamilnadu Circle,Western Region Coimbatore,Coimbatore Division,Periyakuyilai BO,641201,BO,Delivery,COIMBATORE,TAMIL NADU,10.9001633,77.0738033
Tamilnadu Circle,Western Region Coimbatore,Coimbatore Division,Krishnarayapuram BO,641006,BO,Non Delivery,COIMBATORE,TAMIL NADU,11.0475766,76.9669067
Tamilnadu Circle,Western Region Coimbatore,Coimbatore Division,Palathurai BO,641105,BO,Delivery,COIMBATORE,TAMIL NADU,10.88238,76.9560466
Tamilnadu Circle,Western Region Coimbatore,Coimbatore Division,Sinnanavakkarai BO,641105,BO,Delivery,COIMBATORE,TAMIL NADU,10.8661266,76.8777883
Tamilnadu Circle,Western Region Coimbatore,Coimbatore Division,Kuppaipalayam BO,641107,BO,Delivery,COIMBATORE,TAMIL NADU,11.1819108,77.0295819
Tamilnadu Circle,Western Region Coimbatore,Coimbatore Division,Puluvapatti BO,641101,BO,Delivery,COIMBATORE,TAMIL NADU,10.9622566,76.8159516
Tamilnadu Circle,Western Region Coimbatore,Coimbatore Division,Siruvani Adivaram BO,641114,BO,Delivery,COIMBATORE,TAMIL NADU,10.9434216,76.7159983
Tamilnadu Circle,Western Region Coimbatore,Coimbatore Division,Sengalipalayam BO,641022,BO,Delivery,COIMBATORE,TAMIL NADU,11.101868,76.9537677
Tamilnadu Circle,Western Region Coimbatore,Coimbatore Division,Madampatti BO,641010,BO,Delivery,COIMBATORE,TAMIL NADU,10.9690116,76.8615533
Tamilnadu Circle,Western Region Coimbatore,Coimbatore Division,Nanjundapuramtadagam BO,641108,BO,Delivery,COIMBATORE,TAMIL NADU,11.0699833,76.88193
Tamilnadu Circle,Western Region Coimbatore,Coimbatore Division,Pathanjalipuri BO,641108,BO,Delivery,COIMBATORE,TAMIL NADU,11.0760666,76.8248183
Tamilnadu Circle,Western Region Coimbatore,Coimbatore Division,Somayampalayam BO,641108,BO,Delivery,COIMBATORE,TAMIL NADU,11.0601626,76.9061562
Tamilnadu Circle,Western Region Coimbatore,Coimbatore Division,Veerapanditadagam BO,641108,BO,Delivery,COIMBATORE,TAMIL NADU,11.0820399,76.8486033
Tamilnadu Circle,Western Region Coimbatore,Coimbatore Division,Jakkirnaickenpalayam BO,641109,BO,Delivery,COIMBATORE,TAMIL NADU,10.9807583,76.7917216
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,A.Gollahalli B.O,636704,BO,Delivery,DHARMAPURI,TAMIL NADU,12.1274185,78.1580215
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Kuppur B.O,636704,BO,Delivery,DHARMAPURI,TAMIL NADU,12.1725536,78.1948193
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Ungaranahalli B.O,636705,BO,Delivery,DHARMAPURI,TAMIL NADU,12.12,78.2
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Venkatenahalli B.O,636705,BO,Delivery,DHARMAPURI,TAMIL NADU,12.12,78.2
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Thathampatti B.O,635201,BO,Delivery,KRISHNAGIRI,TAMIL NADU,12.1274185,78.1580215
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Anjehalli B.O,636813,BO,Delivery,DHARMAPURI,TAMIL NADU,12.132576,77.895568
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Noolahalli B.O,636813,BO,Delivery,DHARMAPURI,TAMIL NADU,12.132577,77.895567
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Rajagollahalli B.O,636813,BO,Delivery,DHARMAPURI,TAMIL NADU,12.13,78.12
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Thippireddihalli B.O,635301,BO,Delivery,DHARMAPURI,TAMIL NADU,11.9135993,78.3657182
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Kurubarahalli B.O,635302,BO,Delivery,DHARMAPURI,TAMIL NADU,12.0336,78.29775
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Kethureddipatti B.O,635302,BO,Delivery,DHARMAPURI,TAMIL NADU,11.91,78.365
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Hanumantheertham B.O,636902,BO,Delivery,KRISHNAGIRI,TAMIL NADU,11.87,78.38
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Katteri B.O,636902,BO,Delivery,KRISHNAGIRI,TAMIL NADU,11.87,78.38
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Doddampatti B.O,636903,BO,Delivery,DHARMAPURI,TAMIL NADU,12.0336,78.48825
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Ittiyampatti B.O,636903,BO,Delivery,DHARMAPURI,TAMIL NADU,12.051352,78.480323
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Makkanur B.O,636803,BO,Delivery,DHARMAPURI,TAMIL NADU,12.04839,78.48297
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Somenahalli B.O,636803,BO,Delivery,DHARMAPURI,TAMIL NADU,12.132578,77.895566
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Ranimookanur B.O,635303,BO,Delivery,DHARMAPURI,TAMIL NADU,12.10915,78.2945
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Kelavalli B.O,635202,BO,Delivery,DHARMAPURI,TAMIL NADU,12.2094599,78.3109337
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Thippampatti B.O,635202,BO,Delivery,DHARMAPURI,TAMIL NADU,12.0151353,78.480322
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Vagurappampatti B.O,635202,BO,Delivery,DHARMAPURI,TAMIL NADU,12.18465,78.3494
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Vedarampatti B.O,635202,BO,Delivery,DHARMAPURI,TAMIL NADU,12.051353,78.48
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Vellalapatti B.O,635202,BO,Delivery,DHARMAPURI,TAMIL NADU,12.051353,78.480322
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Boodanahalli B.O,636804,BO,Delivery,DHARMAPURI,TAMIL NADU,12.1274185,78.1580215
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Narthampatti B.O,636804,BO,Delivery,DHARMAPURI,TAMIL NADU,12.01544,78.175
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Alapuram B.O,636904,BO,Delivery,DHARMAPURI,TAMIL NADU,11.9181891,78.3645706
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Jammanahalli B.O,636904,BO,Delivery,DHARMAPURI,TAMIL NADU,11.9927,78.3591
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Gobichettipalayam B.O,635305,BO,Delivery,DHARMAPURI,TAMIL NADU,12.051358,78.480317
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Keragodahalli B.O,635305,BO,Delivery,DHARMAPURI,TAMIL NADU,12.051355,78.48032
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Sandapatti B.O,635305,BO,Delivery,DHARMAPURI,TAMIL NADU,12.051351,78.480324
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Ichampatti B.O,636807,BO,Delivery,DHARMAPURI,TAMIL NADU,12.127416,78.158023
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Pagalahalli B.O,636807,BO,Delivery,DHARMAPURI,TAMIL NADU,12.05565,78.0814
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Jertalav B.O,636808,BO,Delivery,DHARMAPURI,TAMIL NADU,12.31685,78.01035
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Sunnampatti B.O,636808,BO,Delivery,DHARMAPURI,TAMIL NADU,12.305409,78.070385
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Kokkarapatti B.O,636905,BO,Delivery,DHARMAPURI,TAMIL NADU,11.98325,78.41075
Tamilnadu Circle,Western Region Coimbatore,Dharmapuri Division,Kombur B.O,636905,BO,Delivery,DHARMAPURI,TAMIL NADU,11.913598,78.3657192
